name,InChIKey,SuperClass,Class,SubClass,ID,,In Garlic,Pesticide,Heavy Metals,Other Metals,General,,Sum
s-alk(en)ylcystine-s-oxide,No result,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
isoalliin,OKYHUOHBRKWCQJ-IHWYPQMZSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
selenomethionine,RJFAYQIBOAGBLC-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
s-ethylcystine,ULXKXLZEOGLCRJ-BYPYZUCNSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
se-methylselenocystine,XDSSPSLGNGIIHP-VKHMYHEASA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
gamma-glutamyl-phenylalanine,XHHOHZPNYFQJKL-QWRGUYRKSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
alliin,XUHLIQGRKRUKPH-ITZCMCNPSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
methiin,ZZLHPCSGGOGHFW-UHFFFAOYSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,"Amino Acids, Peptides, and Analogues",0,,,,,,,,
malic acid,BJEPYKJPYRNKOW-UHFFFAOYSA-N,Organic Acids and Derivatives,Hydroxy Acids and Derivatives,Beta Hydroxy Acids and Derivatives ,0,,,,,,,,
"kaempferol-3-o-alpha-l-rhamnopyranosyl-(1-2)-beta-d-lucopyranoside-7-(2""-œÅ- coumaryl-3-o-beta-d-glucopyranosyl-d-glucose",No result,Organic Acids and Derivatives,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,,
fumaric acid,VZCYOOQTPOCHFL-OWOJBTEDSA-N,Organic Acids and Derivatives,Carboxylic Acids and Derivatives,Dicarboxylic Acids and Derivatives,0,,,,,,,,
sodium ethanethioate,QJDUDPQVDAASMV-UHFFFAOYSA-M,Organic Acids and Derivatives,Thiocarboxylic Acids and Derivatives,Thioesters,0,,,,,,,,
allicin,JDLKFOPOAOFWQN-UHFFFAOYSA-N,Organic Acids and Derivatives,Thiosulfinic Acid Esters,,0,,,,,,,,
sucrose,CZMRCDWAGMRECN-UGDNZRGBSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,,
fructose,LKDRXBCSQODPBY-VRPWFDPXSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,,
fructan,AIHDCSAXVMAMJH-GFBKWZILSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,,
nystose,FLDFNEBHEXLZRX-DLQNOBSRSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,,
kestose,ODEHMIGXGLNAKK-OESPXIITSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,,
glucose,WQZGKKKJIJFFOK-GASJEMHNSA-N,Organic Oxygen Compounds,Organooxygen Compounds,Carbohydrates and Carbohydrate Conjugates,0,,,,,,,,
allixin,OHRPDNHRQKOLGN-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyrans,Pyranones and Derivatives,0,,,,,,,,
pyridoxal,RADKZDMFGJYCBB-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyridines and Derivatives,Pyridine Carboxaldehydes,0,,,,,,,,
pyridoxamine,NHZMQXZHNVQTQA-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyridines and Derivatives,Pyridoxamines,0,,,,,,,,
pyridoxine,LXNHXLLTXMVWPM-UHFFFAOYSA-N,Organoheterocyclic Compounds,Pyridines and Derivatives,Pyridoxines,0,,,,,,,,
"2-vinyl-(4h)-1,3-dithin",XUKBDTUPIIADOP-UHFFFAOYSA-N,Organoheterocyclic Compounds,Dithiins,,0,,,,,,,,
"3-vinyl-(4h)-1,2-dithin",NLHCAGKOLUBCBZ-UHFFFAOYSA-N††,Organoheterocyclic Compounds,Dithiins,,0,,,,,,,,
thiophene,YTPLMLYBLZKORZ-UHFFFAOYSA-N,Organoheterocyclic Compounds,Heteroaromatic Compounds,,0,,,,,,,,
sodium thiomethoxide,RMBAVIFYHOYIFM-UHFFFAOYSA-M††,Organosulfur Compounds,Thiols,Alkylthiols,0,,,,,,,,
methyl mercaptan,LSDPWZHWYPCBBB-UHFFFAOYSA-N,Organosulfur Compounds,Thiols,Alkylthiols,0,,,,,,,,
2-mercaptoethanol,DGVVWUTYPXICAM-UHFFFAOYSA-N,Organosulfur Compounds,Thiols,Alkylthiols,0,,,,,,,,
3-mercapto-2-methylpentan-1-ol,HABNNYNSJFKZFE-UHFFFAOYSA-N,Organosulfur Compounds,Thiols,Alkylthiols,0,,,,,,,,
1-propanethiol,SUVIGLJNEAMWEG-UHFFFAOYSA-N,Organosulfur Compounds,Thiols,Alkylthiols,0,,,,,,,,
allyl mercaptan,ULIKDJVNUXNQHS-UHFFFAOYSA-N,Organosulfur Compounds,Thiols,Alkylthiols,0,,,,,,,,
1-butanethiol,WQAQPCDUOCURKW-UHFFFAOYSA-N,Organosulfur Compounds,Thiols,Alkylthiols,0,,,,,,,,
dimethyl disulfide,WQOXQRCZOLPYPM-UHFFFAOYSA-N,Organosulfur Compounds,Organic Disulfides,Dialkyldisulfides,0,,,,,,,,
dimethyl trisulfide,YWHLKYXPLRWGSE-UHFFFAOYSA-N,Organosulfur Compounds,Organic Trisulfides,Dialkyltrisulfides,0,,,,,,,,
(e)-1-propenylmethyl disulfide,GULJDEUVIOGSJR-GGWOSOGESA-N,Organosulfur Compounds,Organic Disulfides,,0,,,,,,,,
diallyl disulfide,PFRGXCVKLLPLIP-UHFFFAOYSA-N,Organosulfur Compounds,Organic Disulfides,,0,,,,,,,,
(z)-1-propenylallyl disulfide,TVGODXIWIVIPIJ-UHFFFAOYSA-N,Organosulfur Compounds,Organic Disulfides,,0,,,,,,,,
allyl methyl disulfide,XNZOTQPMYMCTBZ-UHFFFAOYSA-N,Organosulfur Compounds,Organic Disulfides,,0,,,,,,,,
diallyl sulfide,UBJVUCKUDDKUJF-UHFFFAOYSA-N,Organosulfur Compounds,Organic Monosulfides,,0,,,,,,,,
butyl propenyl sulfide,BQOGWZALJJSRCR-GQCTYLIASA-N,Organosulfur Compounds,Organic Sulfides,,0,,,,,,,,
allyl methyl sulfide,NVLPQIPTCCLBEU-UHFFFAOYSA-N,Organosulfur Compounds,Organic Sulfides,,0,,,,,,,,
diallyl tetrasulfide,RMKCQUWJDRTEHE-UHFFFAOYSA-N,Organosulfur Compounds,Organic Tetrasulfides,,0,,,,,,,,
allyl methyl trisulfide,JGMPRNFEEAJLAJ-UHFFFAOYSA-N,Organosulfur Compounds,Organic Trisulfides,,0,,,,,,,,
diallyl trisulfide,UBAXRAHSPKWNCX-UHFFFAOYSA-N,Organosulfur Compounds,Organic Trisulfides,,0,,,,,,,,
z-ajoene,IXELFRRANAOWSF-ALCCZGGFSA-N,Organosulfur Compounds,Sulfoxides,,0,,,,,,,,
e-ajoene,IXELFRRANAOWSF-FNORWQNLSA-N,Organosulfur Compounds,Sulfoxides,,0,,,,,,,,
cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,Phenylpropanoids and Polyketides,Cinnamic Acids and Derivatives,Cinnamic Acids,0,,,,,,,,
(+)-catechin,PFTAWBLQPZVEMU-DZGCQCFKSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavans,0,,,,,,,,
(-)-epicatechin,PFTAWBLQPZVEMU-UKRRQHHQSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavans,0,,,,,,,,
quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavones,0,,,,,,,,
myricetin,IKMDFBPHZNJCSN-UHFFFAOYSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavones,0,,,,,,,,
kaempferol,IYRMWMYZSQPJKC-UHFFFAOYSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavones,0,,,,,,,,
apigenin,KZNIFHPLKGYRTM-UHFFFAOYSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavones,0,,,,,,,,
rutin,IKGXIBQEEMLURG-NVPNHPEKSA-N,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
kaempferol-3-o-alpha-l-rhamnopyranosyl-(1-2)-[3-o-acetyl]-beta-d-glucopyranoside,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
kaempferol-3-o-alpha-l-rhamnopyranosyl-(1-2)-beta-d-glucopyranoside-7-(2'-œÅ- coumarylglucoside),No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
kaempferol-3-o-rhamnopyranosyl-(1- 2)-glucopyranosyl,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
4'-o-acetyl-kaempferol-3-o-alpha-l-rhamnopyranosyl-(1- 2)-beta-d- glucopyranoside-7-o-[2-o-(trans-œÅ-coumaroyl)]-Beta-d-glucopyranoside,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
7-o-beta-d- glucopyranoside-kaempferol-3-o-alpha-l-rhamnopyranosyl,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
acetyl-kaempferol-deoxyhexose hexoside-7-o-[2-o-(feruloyl)]-hexoside,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
kaempferol-(acetylhexoside)-hexoside,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
"kaempferol-3,7-di-o-beta-d-glucopyranoside",No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
kaempferol-3-o-alpha-l-rhamnopyranosyl-(1-2)-[3-o-acetyl]-beta-d-glucopyranoside,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
kaempferol-3-o-alpha-l-rhamnopyranosyl-(1-2)-beta-d-glucopyranoside-7-(2'-œÅ- coumarylglucoside),No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
kaempferol-deoxyhexose-(1 -2)-hexoside-(œÅ-coumaryl-hexoside-hexoside),No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
kaempferol-deoxyhexose-hexoside-feruloyl-hexoside,No result,Phenylpropanoids and Polyketides,Flavonoids,Flavonoid Glycosides,0,,,,,,,,
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,Phenylpropanoids and Polyketides,Cinnamic Acids and Derivatives,Hydroxycinnamic Acids and Derivatives,0,,,,,,,,
m-coumaric acid,KKSDGJDHHZEWEP-SNAWJCMRSA-N,Phenylpropanoids and Polyketides,Cinnamic Acids and Derivatives,Hydroxycinnamic Acids and Derivatives,0,,,,,,,,
ferulic acid,KSEBMYQBYZTDHS-HWKANZROSA-N,Phenylpropanoids and Polyketides,Cinnamic Acids and Derivatives,Hydroxycinnamic Acids and Derivatives,0,,,,,,,,
p-coumaric acid,NGSWKAQJJWESNS-ZZXKWVIFSA-N,Phenylpropanoids and Polyketides,Cinnamic Acids and Derivatives,Hydroxycinnamic Acids and Derivatives,0,,,,,,,,
sinapic acid,PCMORTLOPMLEFB-ONEGZZNKSA-N,Phenylpropanoids and Polyketides,Cinnamic Acids and Derivatives,Hydroxycinnamic Acids and Derivatives,0,,,,,,,,
o-coumaric acid,PMOWTIHVNWZYFI-AATRIKPKSA-N,Phenylpropanoids and Polyketides,Cinnamic Acids and Derivatives,Hydroxycinnamic Acids and Derivatives,0,,,,,,,,
trans-resveratrol,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Phenylpropanoids and Polyketides,Stilbenes,,0,,,,,,,,
benzo[a]pyrene,FMMWHPNWAFZXNH-UHFFFAOYSA-N,Polycyclic Compounds,Polycyclic Aromatic Hydrocarbons ,Pyrenes,0,,,,,,,,
oxadiazon,CHNUNORXWHYHNE-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
diazinon,FHIVAFMUCKRCQO-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
flusilazole,FQKUGOMFVDPBIZ-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
metaldehyde,GKKDCARASOJPNG-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
ethofumesate,IRCMYGHHKLLGHV-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
delta-hexachlorocyclohexane,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
clomazone,KIEDNEWSYUYDSN-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
haloxyfop-p-methyl,MFSWTRQUCLNFOM-SECBINFHSA-N,,Pesticides,,4,,,,,,,,
pyriproxyfen,NHDHVHZZCFYRSB-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
rh-5849,NISLLQUWIJASOV-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
thiamethoxam,NWWZPOKUUAIXIW-DHZHZOJOSA-N,,Pesticides,,4,,,,,,,,
fenthion,PNVJTZOFSHSLTO-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
tebuconazole,PXMNMQRDXWABCY-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
pirimiphos-methyl,QHOQHJPRIBSPCY-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
chlorpyrifos,SBPBAQFWLVIOKP-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
fluazifop-œÅ-butyl,VAIZTNZGPYBOGF-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
napropamide,WXZVAROIGSFCFJ-UHFFFAOYSA-N,,Pesticides,,4,,,,,,,,
l-cyhalothrin,ZXQYGBMAQZUVMI-QQDHXZELSA-N,,Pesticides,,4,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
